user,text,comments,retweets,likes,views
@brianvortiz,"6,000 Venture Capital & Private Equity Funds 

looking for investors for your startup? 

Investment Thesis
Fund Restrictions 
Target Industry 
Contact Name 
Investment Stage 
Linkedin Address (direct connect)  

comment ""VC"" and I'll DM you the resource

(MUST be following)",111,13,38,"2,952"
@WaultApp,"Keep your child’s online identity safe with the revolutionary WAULT API. More info:
https://wymsical.com

#dataprivacy #startups #innovation #technology #wymsical #wault #fintech #gdpr #cfpb #saas #api #venturecapital #startup #angelinvestor #investment #funding #crowdfunding",,,1,9
@minvestip,"It's time to invest in Spacex yes, 
you read it right, minvest in startups and be a part of the future with myinvestment.

https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/65375169523292776886308299113829901819911758521423491423460963667021913925392/… via 
@opensea
 

#NFTartwork #SpaceX #ElonMusk #investment #NFTartwork #OpenAI",,1,3,8
